player,org,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
alannn,NOVO,0.92,188.6,0.93,66%,127.2,0.68,0.20,0.08,0.09,34%,12%
bipo,NOVO,0.92,202.5,0.97,62%,132.6,0.74,0.17,0.20,0.19,33%,4%
H1ber,NOVO,0.92,179.2,0.87,69%,121.1,0.64,0.36,0.08,0.11,26%,30%
Cunha20,SAW,0.92,182.1,0.89,66%,120.5,0.67,0.30,0.06,0.06,37%,19%
SpYzera,TU,0.91,184.9,0.88,68%,120.5,0.64,0.29,0.06,0.09,28%,5%
jademwah,O1O,0.91,197.5,0.89,65%,125.3,0.68,0.37,0.08,0.12,22%,13%
allie,LEV.GC,0.91,153.4,0.85,71%,101.0,0.54,0.46,0.05,0.06,25%,13%
Darker,EXL,0.91,182.2,0.92,71%,123.3,0.66,0.31,0.07,0.09,24%,6%
Mel,MIBR.GC,0.91,170.7,0.90,72%,115.8,0.59,0.34,0.04,0.11,23%,9%
A77,WVU,0.91,188.6,0.89,67%,125.9,0.65,0.22,0.07,0.08,26%,10%
SUPERKAT,PAW,0.90,174.6,0.89,69%,118.1,0.63,0.19,0.16,0.17,31%,9%
tinchoff,AK,0.90,157.7,0.89,69%,104.5,0.58,0.22,0.08,0.10,35%,14%
babzzz,ZIK,0.90,195.1,0.94,63%,128.4,0.70,0.15,0.08,0.14,24%,
rise,FLOP,0.90,170.3,0.87,70%,116.4,0.61,0.36,0.05,0.06,22%,10%
N A I S,GMT,0.89,182.2,0.84,66%,123.0,0.63,0.25,0.06,0.07,31%,11%
lz,2G,0.89,171.8,0.86,71%,108.9,0.59,0.33,0.09,0.10,37%,13%
maniek,BAR,0.89,213.9,0.96,62%,138.4,0.75,0.18,0.17,0.22,24%,8%
Awkua,MFC,0.89,189.4,0.85,74%,122.1,0.65,0.39,0.10,0.10,22%,22%
canezera,TOR,0.89,231.8,0.92,69%,147.8,0.79,0.24,0.22,0.18,28%,9%
Prti,DIA,0.89,177.8,0.88,67%,116.2,0.61,0.36,0.06,0.08,29%,11%
Winteryrook,R8,0.89,190.0,0.88,72%,119.1,0.66,0.27,0.13,0.08,31%,7%
Urango,GLRS,0.89,184.8,0.87,68%,122.4,0.64,0.33,0.07,0.12,30%,11%
Evilkyk,GLRS,0.89,160.8,0.84,72%,108.0,0.57,0.31,0.05,0.06,27%,16%
zeek,GN,0.89,169.6,0.89,70%,118.8,0.61,0.29,0.04,0.07,24%,5%
In0X,WVU,0.88,179.6,0.79,69%,120.2,0.60,0.40,0.06,0.12,31%,19%
JonahP,G2,0.88,183.8,0.83,66%,117.1,0.63,0.28,0.09,0.12,23%,13%
taiga,SEN,0.88,191.8,0.91,67%,126.3,0.66,0.26,0.10,0.11,22%,
Sand,TU,0.88,178.5,0.89,65%,121.7,0.64,0.19,0.07,0.11,33%,10%
